time, BuyerID, SellerID, Price, Quantity
0, 3, 2, 80.325822, 19
1, 4, 2, 100.483975, 6
2, 4, 2, 107.949694, 9
3, 4, 2, 105.764444, 7
4, 4, 2, 104.391054, 1
4, 3, 2, 104.391054, 3
5, 3, 2, 106.715012, 3
6, 3, 2, 105.685730, 8
6, 3, 2, 105.685730, 11
7, 3, 2, 109.697009, 2
8, 4, 2, 104.862677, 15
9, 3, 2, 109.119763, 7
9, 3, 2, 109.119763, 3
10, 4, 2, 107.380871, 16
11, 3, 2, 109.242772, 2
12, 4, 2, 107.657217, 10
12, 4, 2, 107.657217, 6
13, 3, 2, 108.441273, 9
13, 3, 2, 108.441273, 8
14, 3, 2, 106.864560, 11
15, 4, 2, 106.950126, 3
16, 4, 2, 107.610464, 5
17, 3, 2, 106.206179, 9
17, 3, 2, 106.206179, 5
18, 3, 2, 107.727367, 6
19, 4, 2, 105.741819, 9
20, 4, 2, 109.655586, 7
20, 4, 2, 109.655586, 13
21, 4, 2, 105.631752, 7
21, 4, 2, 105.631752, 12
22, 3, 2, 106.087753, 5
22, 3, 2, 106.087753, 6
23, 3, 2, 107.380190, 2
24, 3, 2, 109.987698, 3
24, 3, 2, 109.987698, 16
25, 3, 2, 104.701178, 4
26, 4, 2, 107.956775, 3
26, 4, 2, 107.956775, 1
27, 3, 2, 105.169022, 2
27, 3, 2, 105.169022, 9
28, 4, 2, 106.886983, 12
28, 4, 2, 106.886983, 3
29, 3, 2, 104.677097, 10
29, 3, 2, 104.677097, 5
30, 4, 2, 108.359394, 10
30, 4, 2, 108.359394, 8
31, 3, 2, 104.823394, 6
31, 3, 2, 104.823394, 11
32, 3, 2, 108.026894, 9
32, 3, 2, 108.026894, 8
33, 3, 2, 108.522937, 5
34, 4, 2, 108.550655, 8
35, 3, 2, 107.563860, 11
36, 3, 2, 106.946916, 4
37, 4, 2, 105.790286, 3
38, 4, 2, 105.418033, 2
38, 4, 2, 105.418033, 17
39, 4, 2, 107.524006, 3
39, 4, 2, 107.524006, 11
40, 3, 2, 108.838549, 7
41, 4, 2, 108.229304, 9
41, 4, 2, 108.229304, 10
42, 4, 2, 108.606504, 10
42, 4, 2, 108.606504, 10
43, 3, 2, 106.034354, 2
43, 3, 2, 106.034354, 6
44, 4, 2, 107.295206, 5
44, 4, 2, 107.295206, 14
45, 3, 2, 106.186620, 10
45, 3, 2, 106.186620, 8
46, 4, 2, 107.297712, 3
46, 4, 2, 107.297712, 5
47, 4, 2, 104.784280, 5
48, 3, 2, 106.473630, 1
49, 3, 2, 108.805230, 3
49, 3, 2, 108.805230, 3
50, 4, 2, 105.420897, 5
50, 4, 2, 105.420897, 15
51, 3, 2, 105.287759, 6
52, 3, 2, 109.699546, 3
52, 3, 2, 109.699546, 6
53, 3, 2, 108.733681, 3
54, 3, 2, 106.232235, 10
54, 3, 2, 106.232235, 8
55, 4, 2, 107.532729, 3
56, 3, 2, 106.090045, 12
56, 3, 2, 106.090045, 6
57, 3, 2, 105.110414, 14
57, 3, 2, 105.110414, 5
58, 4, 2, 109.124855, 5
59, 3, 2, 105.981829, 15
59, 3, 2, 105.981829, 1
60, 3, 2, 109.739918, 2
61, 3, 2, 109.784298, 10
62, 4, 2, 104.889274, 5
63, 4, 2, 105.311151, 5
