time, BuyerID, SellerID, Price, Quantity
0, 3, 2, 80.325822, 19
1, 3, 1, 106.255351, 16
4, 3, 2, 104.391054, 3
5, 3, 1, 107.895841, 1
5, 3, 2, 106.715012, 3
6, 3, 1, 104.298921, 4
6, 3, 1, 104.298921, 5
6, 3, 2, 105.685730, 8
6, 3, 2, 105.685730, 11
7, 3, 2, 109.697009, 2
8, 3, 1, 108.927811, 7
8, 3, 1, 108.927811, 6
9, 3, 1, 108.230252, 7
9, 3, 2, 109.119763, 7
9, 3, 2, 109.119763, 3
11, 3, 2, 109.242772, 2
12, 3, 1, 105.362425, 15
12, 3, 1, 105.362425, 1
13, 3, 1, 109.506025, 10
13, 3, 2, 108.441273, 9
13, 3, 2, 108.441273, 8
14, 3, 2, 106.864560, 11
15, 3, 1, 108.069732, 1
15, 3, 1, 108.069732, 11
17, 3, 2, 106.206179, 9
17, 3, 2, 106.206179, 5
18, 3, 2, 107.727367, 6
19, 3, 1, 106.626781, 9
19, 3, 1, 106.626781, 7
21, 3, 1, 107.938865, 13
22, 3, 1, 107.610806, 15
22, 3, 2, 106.087753, 5
22, 3, 2, 106.087753, 6
23, 3, 2, 107.380190, 2
24, 3, 1, 108.629396, 9
24, 3, 2, 109.987698, 3
24, 3, 2, 109.987698, 16
25, 3, 2, 104.701178, 4
27, 3, 1, 105.972204, 18
27, 3, 2, 105.169022, 2
27, 3, 2, 105.169022, 9
29, 3, 1, 106.573104, 1
29, 3, 2, 104.677097, 10
29, 3, 2, 104.677097, 5
31, 3, 1, 109.722869, 9
31, 3, 2, 104.823394, 6
31, 3, 2, 104.823394, 11
32, 3, 2, 108.026894, 9
32, 3, 2, 108.026894, 8
33, 3, 2, 108.522937, 5
34, 3, 1, 109.405972, 7
35, 3, 2, 107.563860, 11
36, 3, 1, 109.886040, 3
36, 3, 2, 106.946916, 4
37, 3, 1, 105.068820, 2
37, 3, 1, 105.068820, 11
39, 3, 1, 107.329802, 9
39, 3, 1, 107.329802, 4
40, 3, 1, 108.824303, 5
