BuyerID, SellerID, Price, Quantity
3, 2, 102.244652, 4
3, 2, 104.783039, 8
3, 2, 101.362480, 12
3, 2, 101.362480, 1
3, 2, 102.837475, 7
3, 2, 101.323631, 18
3, 2, 101.115237, 1
3, 2, 101.115237, 14
3, 2, 100.524062, 5
3, 2, 99.989075, 1
3, 2, 99.989075, 13
3, 2, 100.906545, 4
3, 2, 100.906545, 7
3, 2, 101.676353, 9
3, 2, 101.676353, 8
3, 2, 103.813716, 7
3, 2, 102.572088, 10
3, 2, 101.357999, 10
3, 2, 101.357999, 3
3, 2, 100.465451, 1
3, 2, 102.099662, 5
3, 2, 101.627987, 6
3, 2, 102.299343, 5
3, 2, 102.258407, 7
3, 2, 103.710244, 8
3, 2, 103.028792, 4
3, 2, 103.028792, 6
3, 2, 102.628836, 4
3, 2, 102.628836, 12
3, 2, 101.598230, 8
3, 2, 101.598230, 8
3, 2, 100.470738, 11
3, 2, 100.918684, 14
3, 2, 100.689112, 8
3, 2, 100.529831, 1
3, 2, 101.844713, 17
3, 2, 101.761820, 1
3, 2, 101.761820, 14
3, 2, 101.761820, 2
3, 2, 100.278076, 3
3, 2, 103.374802, 13
3, 2, 102.862619, 2
3, 2, 102.862619, 16
3, 2, 104.454842, 6
3, 2, 101.715930, 16
3, 2, 101.715930, 4
3, 2, 102.726170, 6
3, 2, 102.726170, 9
3, 2, 99.890251, 4
3, 2, 99.890251, 9
3, 2, 102.081555, 2
3, 2, 102.081555, 7
3, 2, 100.970078, 12
3, 2, 104.454842, 10
3, 2, 102.070974, 3
3, 2, 101.115852, 1
3, 2, 101.115852, 9
3, 2, 102.992628, 5
3, 2, 103.476135, 17
3, 2, 101.735061, 17
3, 2, 101.735061, 3
3, 2, 104.187657, 10
3, 2, 104.487738, 10
3, 2, 103.400507, 6
3, 2, 102.066063, 1
3, 2, 102.066063, 16
3, 2, 100.618728, 3
3, 2, 100.618728, 15
3, 2, 101.690115, 14
3, 2, 100.317761, 14
3, 2, 100.317761, 6
3, 2, 101.238757, 2
3, 2, 101.238757, 17
3, 2, 102.839934, 16
3, 2, 103.305165, 8
3, 2, 101.508106, 18
3, 2, 101.508106, 2
3, 2, 100.034810, 1
3, 2, 100.034810, 9
3, 2, 100.034810, 10
3, 2, 100.845989, 9
3, 2, 103.622782, 16
3, 2, 101.148494, 8
3, 2, 101.148494, 2
3, 2, 100.166765, 10
3, 2, 103.325440, 6
3, 2, 101.465282, 11
3, 2, 101.157244, 13
3, 2, 103.563928, 1
3, 2, 103.563928, 5
3, 2, 101.689341, 15
3, 2, 101.689341, 3
3, 2, 99.921478, 3
3, 2, 99.623279, 14
3, 2, 100.518599, 16
3, 2, 103.936416, 9
3, 2, 100.443348, 3
3, 2, 100.443348, 5
3, 2, 100.414178, 11
3, 2, 101.314635, 16
3, 2, 101.428865, 4
3, 2, 104.383242, 9
3, 2, 101.299786, 7
3, 2, 101.299786, 2
3, 2, 103.014101, 1
3, 2, 100.500747, 5
3, 2, 100.500747, 5
