BuyerID, SellerID, Price, Quantity
3, 1, 100.395910, 11
3, 1, 97.474937, 3
3, 2, 102.244652, 4
3, 1, 98.001099, 6
3, 1, 98.001099, 7
3, 2, 104.783039, 8
3, 1, 101.414318, 9
3, 2, 101.362480, 12
3, 2, 101.362480, 1
3, 2, 102.837475, 7
3, 2, 101.323631, 18
3, 1, 103.166900, 2
3, 1, 102.090795, 13
3, 2, 101.115237, 1
3, 2, 101.115237, 14
3, 2, 100.524062, 5
3, 1, 104.721486, 20
3, 1, 101.862397, 13
3, 2, 99.989075, 1
3, 2, 99.989075, 13
3, 1, 98.571385, 7
3, 1, 98.571385, 1
3, 2, 100.906545, 4
3, 2, 100.906545, 7
3, 1, 103.278483, 4
3, 1, 103.235584, 7
3, 2, 101.676353, 9
3, 2, 101.676353, 8
3, 1, 100.770823, 5
3, 2, 103.813716, 7
3, 1, 103.111662, 13
3, 2, 102.572088, 10
3, 1, 99.561782, 8
3, 1, 99.561782, 10
3, 1, 99.561782, 2
3, 2, 101.357999, 10
3, 2, 101.357999, 3
3, 1, 99.797814, 17
3, 1, 99.797814, 1
3, 2, 100.465451, 1
3, 2, 102.099662, 5
3, 1, 102.043743, 2
3, 2, 101.627987, 6
3, 2, 102.299343, 5
3, 1, 103.111662, 5
3, 1, 101.259840, 7
3, 1, 101.259840, 11
3, 2, 102.258407, 7
3, 2, 103.710244, 8
3, 1, 103.368947, 12
3, 2, 103.028792, 4
3, 2, 103.028792, 6
3, 1, 101.308457, 8
3, 1, 101.308457, 10
3, 2, 102.628836, 4
3, 2, 102.628836, 12
3, 2, 101.598230, 8
3, 2, 101.598230, 8
3, 1, 100.856559, 12
3, 2, 100.470738, 11
3, 1, 100.856559, 1
3, 2, 100.918684, 14
3, 1, 99.661310, 11
3, 2, 100.689112, 8
3, 1, 102.993570, 2
3, 2, 100.529831, 1
3, 1, 103.051329, 18
3, 2, 101.844713, 17
3, 1, 103.368947, 6
3, 1, 99.606159, 8
3, 1, 99.606159, 9
3, 2, 101.761820, 1
3, 2, 101.761820, 14
3, 2, 101.761820, 2
3, 2, 100.278076, 3
3, 1, 103.830882, 1
3, 1, 101.719438, 1
3, 2, 103.374802, 13
3, 1, 104.323887, 4
3, 1, 101.515009, 1
3, 2, 102.862619, 2
3, 2, 102.862619, 16
3, 1, 104.428704, 14
3, 2, 104.454842, 6
3, 1, 98.946548, 5
3, 1, 98.946548, 2
3, 2, 101.715930, 16
3, 2, 101.715930, 4
3, 1, 100.703592, 1
3, 1, 100.703592, 9
3, 2, 102.726170, 6
3, 2, 102.726170, 9
3, 2, 99.890251, 4
3, 2, 99.890251, 9
3, 1, 104.006426, 5
3, 1, 103.402697, 2
3, 2, 102.081555, 2
3, 2, 102.081555, 7
3, 1, 100.373835, 7
3, 1, 100.373835, 11
3, 2, 100.970078, 12
3, 2, 104.454842, 10
3, 1, 104.471965, 10
3, 1, 101.998257, 1
3, 1, 101.998257, 2
3, 1, 101.998257, 7
3, 1, 100.365957, 11
3, 2, 102.070974, 3
3, 1, 100.424103, 1
3, 2, 101.115852, 1
3, 2, 101.115852, 9
3, 1, 102.987413, 2
3, 2, 102.992628, 5
3, 1, 100.935665, 11
3, 2, 103.476135, 17
3, 2, 101.735061, 17
3, 2, 101.735061, 3
3, 2, 104.187657, 10
3, 1, 99.188550, 3
3, 1, 104.471965, 2
3, 2, 104.487738, 10
3, 1, 99.263820, 10
3, 1, 99.263820, 7
3, 2, 103.400507, 6
3, 1, 104.545300, 1
3, 1, 101.249612, 3
3, 2, 102.066063, 1
3, 2, 102.066063, 16
3, 1, 104.693850, 6
3, 1, 104.738262, 13
3, 1, 100.047867, 1
3, 1, 100.047867, 1
3, 2, 100.618728, 3
3, 2, 100.618728, 15
3, 1, 101.227037, 6
3, 1, 101.472189, 7
3, 1, 100.099932, 5
3, 1, 100.099932, 9
3, 2, 101.690115, 14
3, 1, 101.426161, 4
3, 2, 100.317761, 14
3, 2, 100.317761, 6
3, 1, 101.426161, 4
3, 1, 102.186511, 2
3, 1, 99.529064, 13
3, 2, 101.238757, 2
3, 2, 101.238757, 17
3, 2, 102.839934, 16
3, 1, 101.169689, 3
3, 1, 101.169689, 3
3, 2, 103.305165, 8
3, 1, 102.875251, 1
3, 2, 101.508106, 18
3, 2, 101.508106, 2
3, 1, 102.875251, 3
3, 1, 101.269369, 1
3, 2, 100.034810, 1
3, 2, 100.034810, 9
3, 2, 100.034810, 10
3, 2, 100.845989, 9
3, 2, 103.622782, 16
3, 1, 103.668681, 4
3, 2, 101.148494, 8
3, 2, 101.148494, 2
3, 2, 100.166765, 10
3, 1, 103.262573, 12
3, 1, 99.909047, 10
3, 1, 99.909047, 1
3, 2, 103.325440, 6
3, 1, 103.170486, 7
3, 2, 101.465282, 11
3, 1, 103.170486, 3
3, 1, 103.170486, 4
3, 1, 100.892251, 8
